tree_dbh,status,health,spc_common,latitude,longitude
2,Alive,Good,yellow,40.80448304,-73.96897045
12,Alive,Good,yellow,40.80337919,-73.96973711
5,Alive,Good,yellow,40.8045406,-73.96893133
6,Alive,Good,yellow,40.80511966,-73.96859779
31,Alive,Good,yellow,40.80517836,-73.96856725
10,Alive,Good,yellow,40.80428427,-73.96906692
35,Alive,Good,yellow,40.80554365,-73.96834096
8,Alive,Good,yellow,40.80497467,-73.96867321
8,Alive,Good,yellow,40.80472542,-73.96880331
5,Alive,Good,yellow,40.80539091,-73.96842006
8,Alive,Good,yellow,40.80562369,-73.96833639
2,Alive,Good,yellow,40.80485725,-73.96873429
52,Alive,Good,yellow,40.80582444,-73.96823242
11,Alive,Good,yellow,40.80606599,-73.96810601
4,Alive,Good,yellow,40.80629095,-73.96798636
32,Alive,Good,yellow,40.8060435,-73.96808096
7,Alive,Good,yellow,40.71910049,-73.99002264
10,Alive,Good,yellow,40.80581489,-73.96820048
12,Alive,Good,yellow,40.80588318,-73.968202
3,Alive,Good,yellow,40.75906886,-73.96280884
4,Alive,Fair,yellow,40.78408326,-73.95673025
35,Alive,Fair,yellow,40.80620891,-73.96799298
4,Alive,Good,yellow,40.80621868,-73.9680248
12,Alive,Good,yellow,40.77228284,-73.94636399
10,Alive,Good,yellow,40.80594959,-73.9681676
4,Alive,Poor,yellow,40.75909339,-73.9628669
6,Alive,Fair,yellow,40.80633167,-73.9679647
40,Alive,Fair,yellow,40.80695472,-73.96756304
41,Alive,Good,yellow,40.8072252,-73.96743141
9,Alive,Good,yellow,40.8088883,-73.96594799
9,Alive,Good,yellow,40.78479957,-73.98296104
18,Alive,Good,yellow,40.77664415,-73.95108615
11,Alive,Good,yellow,40.77668194,-73.95117584
18,Alive,Good,yellow,40.78921417,-73.97280001
13,Alive,Good,yellow,40.71819199,-73.98706254
12,Alive,Good,yellow,40.72018008,-73.99358337
13,Alive,Good,yellow,40.78089078,-73.98309529
9,Alive,Good,yellow,40.72015624,-73.99350499
7,Alive,Good,yellow,40.72020474,-73.99366444
17,Alive,Good,yellow,40.80383393,-73.96941312
25,Alive,Good,yellow,40.7756204,-73.952334
3,Alive,Good,yellow,40.78861291,-73.97136975
17,Alive,Fair,yellow,40.78893413,-73.97213386
21,Alive,Good,yellow,40.81166928,-73.96404747
11,Alive,Good,yellow,40.71911658,-73.99007558
13,Alive,Good,yellow,40.71952966,-73.99143715
11,Alive,Good,yellow,40.78052606,-73.97804788
13,Alive,Good,yellow,40.71962884,-73.99176655
22,Alive,Good,yellow,40.82155236,-73.94690931
9,Alive,Good,yellow,40.7904004,-73.97366295
4,Alive,Good,yellow,40.75313404,-73.99792867
14,Alive,Good,yellow,40.74604456,-73.99617687
21,Alive,Good,yellow,40.74620135,-73.99654868
6,Alive,Good,yellow,40.84641937,-73.93280885
2,Alive,Good,yellow,40.84596104,-73.93233104
8,Alive,Good,yellow,40.84634784,-73.93264205
6,Alive,Poor,yellow,40.84639778,-73.9327585
2,Alive,Fair,yellow,40.85082248,-73.93168042
6,Alive,Good,yellow,40.84630735,-73.93254764
6,Alive,Good,yellow,40.85260563,-73.92940498
15,Alive,Good,yellow,40.746249,-73.99666167
15,Alive,Good,yellow,40.72912026,-74.00230145
13,Alive,Good,yellow,40.7288594,-74.00245943
17,Alive,Good,yellow,40.7318506,-74.00494843
9,Alive,Fair,yellow,40.7318718,-74.00488108
19,Alive,Good,yellow,40.73218945,-74.00387186
4,Alive,Good,yellow,40.85194334,-73.92988603
19,Alive,Good,yellow,40.73199248,-74.00449767
7,Alive,Good,yellow,40.80684181,-73.95499974
9,Alive,Good,yellow,40.80668023,-73.95461788
6,Alive,Fair,yellow,40.84632759,-73.93259485
7,Alive,Good,yellow,40.84628305,-73.93249099
30,Alive,Good,yellow,40.79253004,-73.96386851
6,Alive,Good,yellow,40.85274522,-73.92930269
6,Alive,Good,yellow,40.85266847,-73.92935893
4,Alive,Good,yellow,40.85171046,-73.92767368
4,Alive,Good,yellow,40.85187659,-73.92993619
12,Alive,Fair,yellow,40.7354254,-74.00378106
8,Alive,Good,yellow,40.76710155,-73.97989136
9,Alive,Good,yellow,40.73458848,-73.99475207
10,Alive,Good,yellow,40.80677237,-73.95483563
7,Alive,Good,yellow,40.80690805,-73.95515627
6,Alive,Fair,yellow,40.80687466,-73.95507737
8,Alive,Good,yellow,40.80674566,-73.95477251
